# eta   f(eta)   f'(eta)
3.12 1.49947 0.864604
3.13 1.50812 0.866078
3.14 1.51679 0.867541
3.15 1.52548 0.868992
3.16 1.53417 0.870433
3.17 1.54288 0.871863
3.18 1.55161 0.873281
3.19 1.56035 0.874689
3.2 1.5691 0.876086
3.21 1.57787 0.877471
3.22 1.58665 0.878846
3.23 1.59545 0.88021
3.24 1.60426 0.881564
3.25 1.61308 0.882906
3.26 1.62191 0.884238
3.27 1.63076 0.885559
3.28 1.63963 0.886869
3.29 1.6485 0.888168
3.3 1.65739 0.889457
3.31 1.66629 0.890735
3.32 1.6752 0.892003
3.33 1.68413 0.89326
3.34 1.69307 0.894506
3.35 1.70202 0.895742
3.36 1.71098 0.896968
3.37 1.71996 0.898183
3.38 1.72895 0.899387
3.39 1.73795 0.900581
3.4 1.74696 0.901765
3.41 1.75598 0.902939
3.42 1.76502 0.904102
3.43 1.77406 0.905255
3.44 1.78312 0.906398
3.45 1.79219 0.907531
3.46 1.80127 0.908654
3.47 1.81037 0.909767
3.48 1.81947 0.910869
3.49 1.82858 0.911962
3.5 1.83771 0.913045
3.51 1.84684 0.914117
3.52 1.85599 0.91518
3.53 1.86515 0.916233
3.54 1.87432 0.917277
3.55 1.88349 0.91831
3.56 1.89268 0.919334
3.57 1.90188 0.920348
3.58 1.91109 0.921353
3.59 1.92031 0.922348
3.6 1.92954 0.923334
3.61 1.93877 0.92431
3.62 1.94802 0.925277
3.63 1.95728 0.926234
3.64 1.96655 0.927182
3.65 1.97582 0.928121
3.66 1.98511 0.92905
3.67 1.9944 0.929971
3.68 2.00371 0.930882
3.69 2.01302 0.931784
3.7 2.02234 0.932677
3.71 2.03167 0.933561
3.72 2.04101 0.934436
3.73 2.05036 0.935303
3.74 2.05972 0.93616
3.75 2.06909 0.937009
3.76 2.07846 0.937849
3.77 2.08784 0.93868
3.78 2.09723 0.939503
3.79 2.10663 0.940317
3.8 2.11604 0.941122
3.81 2.12546 0.941919
3.82 2.13488 0.942708
3.83 2.14431 0.943488
