# eta   f(eta)   f'(eta)
4.12 2.79131 0.97738
4.13 2.80108 0.977754
4.14 2.81086 0.978123
4.15 2.82064 0.978487
4.16 2.83043 0.978846
4.17 2.84022 0.9792
4.18 2.85001 0.979549
4.19 2.8598 0.979893
4.2 2.8696 0.980232
4.21 2.87941 0.980566
4.22 2.88921 0.980895
4.23 2.89902 0.98122
4.24 2.90883 0.98154
4.25 2.91865 0.981855
4.26 2.92847 0.982165
4.27 2.93829 0.982472
4.28 2.94811 0.982773
4.29 2.95794 0.98307
4.3 2.96777 0.983363
4.31 2.9776 0.983652
4.32 2.98744 0.983936
4.33 2.99728 0.984216
4.34 3.00712 0.984492
4.35 3.01697 0.984764
4.36 3.02681 0.985031
4.37 3.03667 0.985295
4.38 3.04652 0.985554
4.39 3.05637 0.98581
4.4 3.06623 0.986062
4.41 3.07609 0.98631
4.42 3.08596 0.986554
4.43 3.09582 0.986794
4.44 3.10569 0.987031
4.45 3.11556 0.987264
4.46 3.12543 0.987493
4.47 3.13531 0.987719
4.48 3.14518 0.987941
4.49 3.15506 0.98816
4.5 3.16495 0.988375
4.51 3.17483 0.988587
4.52 3.18471 0.988796
4.53 3.1946 0.989001
4.54 3.20449 0.989203
4.55 3.21438 0.989402
4.56 3.22428 0.989597
4.57 3.23417 0.98979
4.58 3.24407 0.989979
4.59 3.25397 0.990165
4.6 3.26387 0.990348
4.61 3.27378 0.990529
4.62 3.28368 0.990706
4.63 3.29359 0.99088
4.64 3.3035 0.991052
4.65 3.31341 0.991221
4.66 3.32332 0.991387
4.67 3.33324 0.99155
4.68 3.34315 0.99171
4.69 3.35307 0.991868
4.7 3.36299 0.992023
4.71 3.37291 0.992176
4.72 3.38283 0.992326
4.73 3.39275 0.992473
4.74 3.40268 0.992618
4.75 3.4126 0.992761
4.76 3.42253 0.992901
4.77 3.43246 0.993039
4.78 3.44239 0.993174
4.79 3.45232 0.993307
4.8 3.46225 0.993438
4.81 3.47219 0.993566
4.82 3.48212 0.993693
4.83 3.49206 0.993817
4.84 3.502 0.993939
4.85 3.51194 0.994058
4.86 3.52188 0.994176
4.87 3.53182 0.994292
4.88 3.54176 0.994405
4.89 3.55171 0.994517
4.9 3.56165 0.994626
4.91 3.5716 0.994734
4.92 3.58155 0.99484
4.93 3.5915 0.994944
4.94 3.60144 0.995046
4.95 3.6114 0.995146
4.96 3.62135 0.995244
4.97 3.6313 0.995341
4.98 3.64125 0.995436
4.99 3.65121 0.995529
5 3.66116 0.99562
5.01 3.67112 0.99571
5.02 3.68108 0.995798
5.03 3.69103 0.995884
