# eta   f(eta)   f'(eta)
3.62 0.862065 0.777293
3.63 0.869847 0.779132
3.64 0.877648 0.780963
3.65 0.885467 0.782786
3.66 0.893304 0.7846
3.67 0.901159 0.786407
3.68 0.909032 0.788205
3.69 0.916923 0.789996
3.7 0.924832 0.791778
3.71 0.932758 0.793552
3.72 0.940703 0.795317
3.73 0.948665 0.797075
3.74 0.956644 0.798824
3.75 0.964641 0.800564
3.76 0.972655 0.802297
3.77 0.980687 0.804021
3.78 0.988736 0.805736
3.79 0.996802 0.807443
3.8 1.00488 0.809142
3.81 1.01298 0.810832
3.82 1.0211 0.812513
3.83 1.02923 0.814186
3.84 1.03738 0.815851
3.85 1.04555 0.817506
3.86 1.05373 0.819153
3.87 1.06193 0.820792
3.88 1.07015 0.822422
3.89 1.07838 0.824043
3.9 1.08663 0.825655
3.91 1.0949 0.827259
3.92 1.10318 0.828854
3.93 1.11147 0.83044
3.94 1.11979 0.832017
3.95 1.12811 0.833585
3.96 1.13646 0.835145
3.97 1.14482 0.836696
3.98 1.15319 0.838238
3.99 1.16158 0.839771
4 1.16999 0.841295
4.01 1.17841 0.842811
4.02 1.18684 0.844317
4.03 1.19529 0.845815
4.04 1.20376 0.847303
4.05 1.21224 0.848783
4.06 1.22073 0.850254
4.07 1.22924 0.851715
4.08 1.23777 0.853168
4.09 1.24631 0.854612
4.1 1.25486 0.856047
4.11 1.26343 0.857473
4.12 1.27201 0.85889
4.13 1.28061 0.860298
4.14 1.28922 0.861697
4.15 1.29784 0.863087
4.16 1.30648 0.864468
4.17 1.31513 0.86584
4.18 1.32379 0.867203
4.19 1.33247 0.868557
4.2 1.34117 0.869902
4.21 1.34987 0.871238
4.22 1.35859 0.872565
4.23 1.36732 0.873883
4.24 1.37607 0.875192
4.25 1.38483 0.876492
4.26 1.3936 0.877783
4.27 1.40238 0.879066
4.28 1.41118 0.880339
4.29 1.41999 0.881603
4.3 1.42881 0.882858
4.31 1.43765 0.884105
4.32 1.44649 0.885342
4.33 1.45535 0.886571
4.34 1.46422 0.88779
4.35 1.47311 0.889001
4.36 1.482 0.890203
4.37 1.49091 0.891396
4.38 1.49983 0.89258
4.39 1.50876 0.893755
4.4 1.51771 0.894922
4.41 1.52666 0.896079
4.42 1.53563 0.897228
4.43 1.54461 0.898368
4.44 1.5536 0.899499
4.45 1.5626 0.900622
4.46 1.57161 0.901736
4.47 1.58063 0.902841
4.48 1.58967 0.903937
4.49 1.59871 0.905025
4.5 1.60777 0.906104
4.51 1.61683 0.907174
4.52 1.62591 0.908236
4.53 1.635 0.909289
4.54 1.6441 0.910334
4.55 1.6532 0.91137
4.56 1.66232 0.912397
4.57 1.67145 0.913416
4.58 1.68059 0.914427
4.59 1.68974 0.915429
4.6 1.6989 0.916422
4.61 1.70807 0.917408
4.62 1.71725 0.918384
4.63 1.72644 0.919353
4.64 1.73563 0.920313
4.65 1.74484 0.921265
4.66 1.75406 0.922209
4.67 1.76329 0.923144
4.68 1.77252 0.924071
4.69 1.78177 0.92499
4.7 1.79102 0.925901
4.71 1.80029 0.926804
4.72 1.80956 0.927698
4.73 1.81884 0.928585
4.74 1.82813 0.929463
4.75 1.83743 0.930334
4.76 1.84674 0.931197
4.77 1.85605 0.932051
4.78 1.86538 0.932898
4.79 1.87471 0.933737
4.8 1.88405 0.934568
4.81 1.8934 0.935391
4.82 1.90276 0.936207
4.83 1.91213 0.937014
4.84 1.9215 0.937815
4.85 1.93088 0.938607
4.86 1.94027 0.939392
4.87 1.94967 0.940169
4.88 1.95908 0.940939
4.89 1.96849 0.941701
4.9 1.97791 0.942456
4.91 1.98734 0.943203
4.92 1.99677 0.943943
4.93 2.00622 0.944676
4.94 2.01567 0.945401
4.95 2.02513 0.946119
4.96 2.03459 0.94683
4.97 2.04406 0.947533
4.98 2.05354 0.94823
4.99 2.06303 0.948919
5 2.07252 0.949601
5.01 2.08202 0.950277
5.02 2.09152 0.950945
5.03 2.10104 0.951606
5.04 2.11056 0.95226
5.05 2.12008 0.952908
5.06 2.12962 0.953549
5.07 2.13915 0.954182
5.08 2.1487 0.95481
5.09 2.15825 0.95543
5.1 2.16781 0.956044
5.11 2.17737 0.956651
5.12 2.18694 0.957251
5.13 2.19652 0.957846
5.14 2.2061 0.958433
5.15 2.21568 0.959014
5.16 2.22528 0.959589
5.17 2.23488 0.960157
5.18 2.24448 0.960719
5.19 2.25409 0.961275
5.2 2.26371 0.961825
5.21 2.27333 0.962368
5.22 2.28295 0.962905
5.23 2.29259 0.963436
5.24 2.30222 0.963961
5.25 2.31186 0.96448
5.26 2.32151 0.964993
5.27 2.33116 0.965501
5.28 2.34082 0.966002
5.29 2.35048 0.966497
5.3 2.36015 0.966987
5.31 2.36982 0.967471
5.32 2.3795 0.967949
5.33 2.38918 0.968422
5.34 2.39887 0.968889
5.35 2.40856 0.96935
5.36 2.41826 0.969806
5.37 2.42796 0.970256
5.38 2.43766 0.970701
5.39 2.44737 0.971141
5.4 2.45708 0.971575
5.41 2.4668 0.972004
5.42 2.47652 0.972428
5.43 2.48625 0.972846
5.44 2.49598 0.973259
5.45 2.50572 0.973667
5.46 2.51545 0.97407
5.47 2.5252 0.974468
5.48 2.53494 0.974862
5.49 2.54469 0.97525
5.5 2.55445 0.975633
5.51 2.56421 0.976011
5.52 2.57397 0.976385
5.53 2.58373 0.976753
5.54 2.5935 0.977117
5.55 2.60328 0.977477
5.56 2.61305 0.977831
5.57 2.62283 0.978181
5.58 2.63262 0.978527
5.59 2.6424 0.978868
5.6 2.65219 0.979204
5.61 2.66199 0.979536
5.62 2.67179 0.979864
5.63 2.68159 0.980187
5.64 2.69139 0.980506
5.65 2.7012 0.980821
5.66 2.71101 0.981132
5.67 2.72082 0.981438
5.68 2.73063 0.98174
5.69 2.74045 0.982038
5.7 2.75028 0.982332
5.71 2.7601 0.982622
5.72 2.76993 0.982908
5.73 2.77976 0.98319
5.74 2.78959 0.983469
5.75 2.79943 0.983743
5.76 2.80927 0.984014
5.77 2.81911 0.98428
5.78 2.82895 0.984543
5.79 2.8388 0.984803
5.8 2.84865 0.985059
5.81 2.8585 0.985311
5.82 2.86835 0.985559
5.83 2.87821 0.985804
5.84 2.88807 0.986046
5.85 2.89793 0.986284
5.86 2.9078 0.986518
5.87 2.91766 0.986749
5.88 2.92753 0.986977
5.89 2.9374 0.987202
5.9 2.94727 0.987423
5.91 2.95715 0.987641
5.92 2.96703 0.987856
5.93 2.97691 0.988068
5.94 2.98679 0.988276
5.95 2.99667 0.988482
5.96 3.00656 0.988684
5.97 3.01645 0.988883
5.98 3.02634 0.98908
5.99 3.03623 0.989273
6 3.04612 0.989464
6.01 3.05602 0.989651
6.02 3.06591 0.989836
6.03 3.07581 0.990018
6.04 3.08571 0.990197
6.05 3.09562 0.990374
6.06 3.10552 0.990548
6.07 3.11543 0.990719
6.08 3.12534 0.990887
6.09 3.13525 0.991053
6.1 3.14516 0.991216
6.11 3.15507 0.991377
6.12 3.16499 0.991535
6.13 3.1749 0.991691
6.14 3.18482 0.991844
6.15 3.19474 0.991995
6.16 3.20466 0.992143
6.17 3.21458 0.992289
6.18 3.2245 0.992433
6.19 3.23443 0.992575
6.2 3.24436 0.992714
6.21 3.25428 0.992851
6.22 3.26421 0.992985
6.23 3.27414 0.993118
6.24 3.28408 0.993248
6.25 3.29401 0.993377
6.26 3.30394 0.993503
6.27 3.31388 0.993627
6.28 3.32382 0.993749
6.29 3.33375 0.993869
6.3 3.34369 0.993987
6.31 3.35363 0.994103
6.32 3.36358 0.994217
6.33 3.37352 0.99433
6.34 3.38346 0.99444
6.35 3.39341 0.994549
6.36 3.40335 0.994655
6.37 3.4133 0.99476
6.38 3.42325 0.994863
6.39 3.4332 0.994965
6.4 3.44315 0.995065
6.41 3.4531 0.995162
6.42 3.46305 0.995259
6.43 3.473 0.995353
6.44 3.48296 0.995446
6.45 3.49291 0.995538
6.46 3.50287 0.995628
6.47 3.51282 0.995716
6.48 3.52278 0.995803
6.49 3.53274 0.995888
6.5 3.5427 0.995972
6.51 3.55266 0.996054
6.52 3.56262 0.996135
6.53 3.57258 0.996214
6.54 3.58255 0.996292
6.55 3.59251 0.996369
6.56 3.60247 0.996444
6.57 3.61244 0.996518
6.58 3.6224 0.99659
6.59 3.63237 0.996662
6.6 3.64234 0.996731
6.61 3.6523 0.9968
6.62 3.66227 0.996868
6.63 3.67224 0.996934
6.64 3.68221 0.996999
6.65 3.69218 0.997063
6.66 3.70215 0.997125
6.67 3.71212 0.997187
6.68 3.7221 0.997247
6.69 3.73207 0.997307
6.7 3.74204 0.997365
6.71 3.75202 0.997422
6.72 3.76199 0.997478
6.73 3.77197 0.997533
6.74 3.78194 0.997587
6.75 3.79192 0.99764
6.76 3.80189 0.997692
6.77 3.81187 0.997743
6.78 3.82185 0.997793
6.79 3.83183 0.997842
6.8 3.84181 0.99789
6.81 3.85179 0.997938
6.82 3.86176 0.997984
6.83 3.87174 0.998029
6.84 3.88173 0.998074
6.85 3.89171 0.998118
6.86 3.90169 0.99816
6.87 3.91167 0.998203
6.88 3.92165 0.998244
6.89 3.93163 0.998284
6.9 3.94162 0.998324
6.91 3.9516 0.998363
6.92 3.96158 0.998401
6.93 3.97157 0.998438
6.94 3.98155 0.998475
6.95 3.99154 0.998511
6.96 4.00152 0.998546
6.97 4.01151 0.99858
6.98 4.0215 0.998614
6.99 4.03148 0.998647
7 4.04147 0.99868
7.01 4.05146 0.998712
7.02 4.06144 0.998743
7.03 4.07143 0.998774
7.04 4.08142 0.998803
7.05 4.09141 0.998833
7.06 4.10139 0.998862
